"","date","hits","keyword","geo","gprop","category"
"110",2014-04-26 22:00:00,35,"the children","GB","web",0
"111",2014-05-03 22:00:00,37,"the children","GB","web",0
"112",2014-05-10 22:00:00,34,"the children","GB","web",0
"113",2014-05-17 22:00:00,29,"the children","GB","web",0
"114",2014-05-24 22:00:00,25,"the children","GB","web",0
"115",2014-05-31 22:00:00,30,"the children","GB","web",0
"116",2014-06-07 22:00:00,30,"the children","GB","web",0
"117",2014-06-14 22:00:00,34,"the children","GB","web",0
"118",2014-06-21 22:00:00,29,"the children","GB","web",0
"119",2014-06-28 22:00:00,26,"the children","GB","web",0
"120",2014-07-05 22:00:00,26,"the children","GB","web",0
"121",2014-07-12 22:00:00,24,"the children","GB","web",0
"122",2014-07-19 22:00:00,23,"the children","GB","web",0
"123",2014-07-26 22:00:00,24,"the children","GB","web",0
"124",2014-08-02 22:00:00,24,"the children","GB","web",0
"125",2014-08-09 22:00:00,23,"the children","GB","web",0
"126",2014-08-16 22:00:00,22,"the children","GB","web",0
"127",2014-08-23 22:00:00,22,"the children","GB","web",0
"128",2014-08-30 22:00:00,24,"the children","GB","web",0
"129",2014-09-06 22:00:00,28,"the children","GB","web",0
"130",2014-09-13 22:00:00,30,"the children","GB","web",0
"131",2014-09-20 22:00:00,29,"the children","GB","web",0
"132",2014-09-27 22:00:00,33,"the children","GB","web",0
"133",2014-10-04 22:00:00,34,"the children","GB","web",0
"134",2014-10-11 22:00:00,32,"the children","GB","web",0
"135",2014-10-18 22:00:00,34,"the children","GB","web",0
"136",2014-10-25 22:00:00,29,"the children","GB","web",0
"137",2014-11-01 23:00:00,38,"the children","GB","web",0
"138",2014-11-08 23:00:00,49,"the children","GB","web",0
"139",2014-11-15 23:00:00,40,"the children","GB","web",0
"140",2014-11-22 23:00:00,40,"the children","GB","web",0
"141",2014-11-29 23:00:00,39,"the children","GB","web",0
"142",2014-12-06 23:00:00,41,"the children","GB","web",0
"143",2014-12-13 23:00:00,34,"the children","GB","web",0
"144",2014-12-20 23:00:00,29,"the children","GB","web",0
"145",2014-12-27 23:00:00,28,"the children","GB","web",0
"146",2015-01-03 23:00:00,37,"the children","GB","web",0
"147",2015-01-10 23:00:00,35,"the children","GB","web",0
"148",2015-01-17 23:00:00,35,"the children","GB","web",0
"149",2015-01-24 23:00:00,36,"the children","GB","web",0
"150",2015-01-31 23:00:00,34,"the children","GB","web",0
"151",2015-02-07 23:00:00,32,"the children","GB","web",0
"152",2015-02-14 23:00:00,28,"the children","GB","web",0
"153",2015-02-21 23:00:00,34,"the children","GB","web",0
"154",2015-02-28 23:00:00,33,"the children","GB","web",0
"155",2015-03-07 23:00:00,33,"the children","GB","web",0
"156",2015-03-14 23:00:00,35,"the children","GB","web",0
"157",2015-03-21 23:00:00,32,"the children","GB","web",0
"158",2015-03-28 23:00:00,28,"the children","GB","web",0
"159",2015-04-04 22:00:00,25,"the children","GB","web",0
"160",2015-04-11 22:00:00,31,"the children","GB","web",0
"161",2015-04-18 22:00:00,33,"the children","GB","web",0
"162",2015-04-25 22:00:00,35,"the children","GB","web",0
"163",2015-05-02 22:00:00,33,"the children","GB","web",0
"164",2015-05-09 22:00:00,35,"the children","GB","web",0
"165",2015-05-16 22:00:00,33,"the children","GB","web",0
"166",2015-05-23 22:00:00,26,"the children","GB","web",0
"167",2015-05-30 22:00:00,29,"the children","GB","web",0
"168",2015-06-06 22:00:00,30,"the children","GB","web",0
"169",2015-06-13 22:00:00,30,"the children","GB","web",0
"170",2015-06-20 22:00:00,28,"the children","GB","web",0
"171",2015-06-27 22:00:00,26,"the children","GB","web",0
"172",2015-07-04 22:00:00,28,"the children","GB","web",0
"173",2015-07-11 22:00:00,24,"the children","GB","web",0
"174",2015-07-18 22:00:00,23,"the children","GB","web",0
"175",2015-07-25 22:00:00,23,"the children","GB","web",0
"176",2015-08-01 22:00:00,22,"the children","GB","web",0
"177",2015-08-08 22:00:00,23,"the children","GB","web",0
"178",2015-08-15 22:00:00,23,"the children","GB","web",0
"179",2015-08-22 22:00:00,23,"the children","GB","web",0
"180",2015-08-29 22:00:00,28,"the children","GB","web",0
"181",2015-09-05 22:00:00,31,"the children","GB","web",0
"182",2015-09-12 22:00:00,31,"the children","GB","web",0
"183",2015-09-19 22:00:00,32,"the children","GB","web",0
"184",2015-09-26 22:00:00,34,"the children","GB","web",0
"185",2015-10-03 22:00:00,32,"the children","GB","web",0
"186",2015-10-10 22:00:00,32,"the children","GB","web",0
"187",2015-10-17 22:00:00,32,"the children","GB","web",0
"188",2015-10-24 22:00:00,28,"the children","GB","web",0
"189",2015-10-31 23:00:00,36,"the children","GB","web",0
"190",2015-11-07 23:00:00,46,"the children","GB","web",0
"191",2015-11-14 23:00:00,35,"the children","GB","web",0
"192",2015-11-21 23:00:00,32,"the children","GB","web",0
"193",2015-11-28 23:00:00,31,"the children","GB","web",0
"194",2015-12-05 23:00:00,32,"the children","GB","web",0
"195",2015-12-12 23:00:00,31,"the children","GB","web",0
"196",2015-12-19 23:00:00,24,"the children","GB","web",0
"197",2015-12-26 23:00:00,26,"the children","GB","web",0
"198",2016-01-02 23:00:00,33,"the children","GB","web",0
"199",2016-01-09 23:00:00,36,"the children","GB","web",0
"200",2016-01-16 23:00:00,33,"the children","GB","web",0
"201",2016-01-23 23:00:00,34,"the children","GB","web",0
"202",2016-01-30 23:00:00,34,"the children","GB","web",0
"203",2016-02-06 23:00:00,30,"the children","GB","web",0
"204",2016-02-13 23:00:00,27,"the children","GB","web",0
"205",2016-02-20 23:00:00,32,"the children","GB","web",0
"206",2016-02-27 23:00:00,32,"the children","GB","web",0
"207",2016-03-05 23:00:00,32,"the children","GB","web",0
"208",2016-03-12 23:00:00,33,"the children","GB","web",0
"209",2016-03-19 23:00:00,30,"the children","GB","web",0
"210",2016-03-26 23:00:00,32,"the children","GB","web",0
"211",2016-04-02 22:00:00,27,"the children","GB","web",0
"212",2016-04-09 22:00:00,30,"the children","GB","web",0
"213",2016-04-16 22:00:00,33,"the children","GB","web",0
"214",2016-04-23 22:00:00,32,"the children","GB","web",0
"215",2016-04-30 22:00:00,30,"the children","GB","web",0
"216",2016-05-07 22:00:00,31,"the children","GB","web",0
"217",2016-05-14 22:00:00,30,"the children","GB","web",0
"218",2016-05-21 22:00:00,32,"the children","GB","web",0
"219",2016-05-28 22:00:00,25,"the children","GB","web",0
"220",2016-06-04 22:00:00,31,"the children","GB","web",0
"221",2016-06-11 22:00:00,29,"the children","GB","web",0
"222",2016-06-18 22:00:00,27,"the children","GB","web",0
"223",2016-06-25 22:00:00,25,"the children","GB","web",0
"224",2016-07-02 22:00:00,22,"the children","GB","web",0
"225",2016-07-09 22:00:00,23,"the children","GB","web",0
"226",2016-07-16 22:00:00,21,"the children","GB","web",0
"227",2016-07-23 22:00:00,22,"the children","GB","web",0
"228",2016-07-30 22:00:00,20,"the children","GB","web",0
"229",2016-08-06 22:00:00,20,"the children","GB","web",0
"230",2016-08-13 22:00:00,22,"the children","GB","web",0
"231",2016-08-20 22:00:00,23,"the children","GB","web",0
"232",2016-08-27 22:00:00,23,"the children","GB","web",0
"233",2016-09-03 22:00:00,26,"the children","GB","web",0
"234",2016-09-10 22:00:00,27,"the children","GB","web",0
"235",2016-09-17 22:00:00,29,"the children","GB","web",0
"236",2016-09-24 22:00:00,31,"the children","GB","web",0
"237",2016-10-01 22:00:00,32,"the children","GB","web",0
"238",2016-10-08 22:00:00,32,"the children","GB","web",0
"239",2016-10-15 22:00:00,33,"the children","GB","web",0
"240",2016-10-22 22:00:00,29,"the children","GB","web",0
"241",2016-10-29 22:00:00,32,"the children","GB","web",0
"242",2016-11-05 23:00:00,35,"the children","GB","web",0
"243",2016-11-12 23:00:00,43,"the children","GB","web",0
"244",2016-11-19 23:00:00,33,"the children","GB","web",0
"245",2016-11-26 23:00:00,34,"the children","GB","web",0
"246",2016-12-03 23:00:00,33,"the children","GB","web",0
"247",2016-12-10 23:00:00,34,"the children","GB","web",0
"248",2016-12-17 23:00:00,27,"the children","GB","web",0
"249",2016-12-24 23:00:00,21,"the children","GB","web",0
"250",2016-12-31 23:00:00,28,"the children","GB","web",0
"251",2017-01-07 23:00:00,31,"the children","GB","web",0
"252",2017-01-14 23:00:00,31,"the children","GB","web",0
"253",2017-01-21 23:00:00,33,"the children","GB","web",0
"254",2017-01-28 23:00:00,30,"the children","GB","web",0
"255",2017-02-04 23:00:00,31,"the children","GB","web",0
"256",2017-02-11 23:00:00,28,"the children","GB","web",0
"257",2017-02-18 23:00:00,30,"the children","GB","web",0
"258",2017-02-25 23:00:00,31,"the children","GB","web",0
"259",2017-03-04 23:00:00,32,"the children","GB","web",0
"260",2017-03-11 23:00:00,32,"the children","GB","web",0
"261",2012-03-24 23:00:00,5,"children games","GB","web",0
"262",2012-03-31 22:00:00,4,"children games","GB","web",0
"263",2012-04-07 22:00:00,4,"children games","GB","web",0
"264",2012-04-14 22:00:00,5,"children games","GB","web",0
"265",2012-04-21 22:00:00,5,"children games","GB","web",0
"266",2012-04-28 22:00:00,5,"children games","GB","web",0
"267",2012-05-05 22:00:00,5,"children games","GB","web",0
"268",2012-05-12 22:00:00,5,"children games","GB","web",0
"269",2012-05-19 22:00:00,5,"children games","GB","web",0
"270",2012-05-26 22:00:00,6,"children games","GB","web",0
"271",2012-06-02 22:00:00,4,"children games","GB","web",0
"272",2012-06-09 22:00:00,4,"children games","GB","web",0
"273",2012-06-16 22:00:00,5,"children games","GB","web",0
"274",2012-06-23 22:00:00,5,"children games","GB","web",0
"275",2012-06-30 22:00:00,5,"children games","GB","web",0
"276",2012-07-07 22:00:00,5,"children games","GB","web",0
"277",2012-07-14 22:00:00,4,"children games","GB","web",0
"278",2012-07-21 22:00:00,3,"children games","GB","web",0
"279",2012-07-28 22:00:00,3,"children games","GB","web",0
"280",2012-08-04 22:00:00,3,"children games","GB","web",0
"281",2012-08-11 22:00:00,3,"children games","GB","web",0
"282",2012-08-18 22:00:00,3,"children games","GB","web",0
"283",2012-08-25 22:00:00,3,"children games","GB","web",0
"284",2012-09-01 22:00:00,4,"children games","GB","web",0
"285",2012-09-08 22:00:00,4,"children games","GB","web",0
"286",2012-09-15 22:00:00,4,"children games","GB","web",0
"287",2012-09-22 22:00:00,5,"children games","GB","web",0
"288",2012-09-29 22:00:00,5,"children games","GB","web",0
"289",2012-10-06 22:00:00,6,"children games","GB","web",0
"290",2012-10-13 22:00:00,5,"children games","GB","web",0
"291",2012-10-20 22:00:00,6,"children games","GB","web",0
"292",2012-10-27 22:00:00,5,"children games","GB","web",0
"293",2012-11-03 23:00:00,5,"children games","GB","web",0
